audio interface opened
hw_params allocated
hw_params initialized
hw_params access setted
hw_params format setted
hw_params rate setted
hw_params channels setted
change volume times :8
audio interface prepared: 16, length - 96000
freq:240,amplitude,vol,theta 
240,32440,7000,5 
240,32440,7000,5 
240,32475,7000,5 
240,22206,8000,5 
240,11420,8000,5 
240,32462,8000,5 
240,32494,8000,5 
240,32460,8000,5 
240,32461,8000,5 
240,28303,1000,6 
240,30317,1000,6 
240,32228,1000,6 
240,32196,1000,6 
240,32197,1000,6 
240,32233,1000,6 
240,22727,2000,6 
240,12271,2000,6 
240,32262,2000,6 
240,32293,2000,6 
240,32264,2000,6 
240,32261,2000,6 
240,27990,3000,6 
240,30245,3000,6 
240,32342,3000,6 
240,32315,3000,6 
240,32311,3000,6 
240,32345,3000,6 
240,22139,4000,6 
240,10239,4000,6 
240,32355,4000,6 
240,32388,4000,6 
240,32354,4000,6 
240,32354,4000,6 
240,28013,5000,6 
240,30568,5000,6 
240,32421,5000,6 
240,32391,5000,6 
240,32389,5000,6 
240,32424,5000,6 
240,21952,6000,6 
240,10606,6000,6 
240,32418,6000,6 
240,32449,6000,6 
240,32417,6000,6 
240,32417,6000,6 
240,28604,7000,6 
240,30198,7000,6 
240,32473,7000,6 
240,32441,7000,6 
240,32441,7000,6 
240,32472,7000,6 
240,22641,8000,6 
240,14023,8000,6 
240,32461,8000,6 
240,32494,8000,6 
240,32463,8000,6 
240,32463,8000,6 
240,28561,1000,7 
240,30648,1000,7 
240,32229,1000,7 
240,32203,1000,7 
240,32198,1000,7 
240,32235,1000,7 
240,22788,2000,7 
240,13437,2000,7 
240,32262,2000,7 
240,32295,2000,7 
240,32260,2000,7 
240,32262,2000,7 
240,28017,3000,7 
240,30818,3000,7 
240,32344,3000,7 
240,32313,3000,7 
240,32313,3000,7 
240,32345,3000,7 
240,23080,4000,7 
240,13389,4000,7 
240,32358,4000,7 
240,32387,4000,7 
240,32355,4000,7 
240,32356,4000,7 
240,28327,5000,7 
240,30249,5000,7 
240,32425,5000,7 
240,32392,5000,7 
240,32392,5000,7 
240,32425,5000,7 
240,23834,6000,7 
240,13206,6000,7 
240,32418,6000,7 
240,32450,6000,7 
240,32419,6000,7 
240,32419,6000,7 
240,28194,7000,7 
240,30880,7000,7 
240,32475,7000,7 
240,32442,7000,7 
240,32441,7000,7 
240,32474,7000,7 
240,23359,8000,7 
240,13613,8000,7 
240,32462,8000,7 
240,32495,8000,7 
240,32463,8000,7 
240,32463,8000,7 
240,28070,1000,8 
240,29938,1000,8 
240,32234,1000,8 
240,32204,1000,8 
240,32199,1000,8 
240,32229,1000,8 
240,23013,2000,8 
240,14649,2000,8 
240,32267,2000,8 
240,32296,2000,8 
240,32262,2000,8 
240,32264,2000,8 
240,28088,3000,8 
240,30221,3000,8 
240,32346,3000,8 
240,32315,3000,8 
240,32315,3000,8 
240,32346,3000,8 
240,23463,4000,8 
240,13538,4000,8 
240,32354,4000,8 
240,32388,4000,8 
240,32358,4000,8 
240,32359,4000,8 
240,28134,5000,8 
240,30635,5000,8 
240,32424,5000,8 
240,32396,5000,8 
240,32393,5000,8 
240,32426,5000,8 
240,23748,6000,8 
240,13764,6000,8 
240,32418,6000,8 
240,32451,6000,8 
240,32420,6000,8 
240,32419,6000,8 
240,28659,7000,8 
240,30820,7000,8 
240,32474,7000,8 
240,32442,7000,8 
240,32441,7000,8 
240,32476,7000,8 
240,22600,8000,8 
240,13839,8000,8 
240,32463,8000,8 
240,32497,8000,8 
240,32465,8000,8 
240,32463,8000,8 
240,28311,1000,9 
240,30475,1000,9 
240,32230,1000,9 
240,32200,1000,9 
240,32202,1000,9 
240,32234,1000,9 
240,24346,2000,9 
240,13682,2000,9 
240,32264,2000,9 
240,32299,2000,9 
240,32265,2000,9 
240,32266,2000,9 
240,28049,3000,9 
240,30337,3000,9 
240,32348,3000,9 
240,32315,3000,9 
240,32315,3000,9 
240,32348,3000,9 
240,22850,4000,9 
240,13476,4000,9 
240,32357,4000,9 
240,32390,4000,9 
240,32358,4000,9 
240,32356,4000,9 
240,28273,5000,9 
240,30221,5000,9 
240,32425,5000,9 
240,32393,5000,9 
240,32393,5000,9 
240,32426,5000,9 
240,23074,6000,9 
240,12850,6000,9 
240,32420,6000,9 
240,32452,6000,9 
240,32419,6000,9 
240,32420,6000,9 
240,28640,7000,9 
240,30796,7000,9 
240,32475,7000,9 
240,32443,7000,9 
240,32443,7000,9 
240,32474,7000,9 
240,22834,8000,9 
240,13787,8000,9 
240,32465,8000,9 
240,32496,8000,9 
240,32464,8000,9 
240,32464,8000,9 
240,28881,1000,10 
240,29985,1000,10 
240,32233,1000,10 
240,32201,1000,10 
240,32204,1000,10 
240,32236,1000,10 
240,23675,2000,10 
240,14053,2000,10 
240,32268,2000,10 
240,32296,2000,10 
240,32265,2000,10 
240,32267,2000,10 
240,27830,3000,10 
240,30821,3000,10 
240,32349,3000,10 
240,32319,3000,10 
240,32317,3000,10 
240,32348,3000,10 
240,22605,4000,10 
240,12746,4000,10 
240,32358,4000,10 
240,32392,4000,10 
240,32358,4000,10 
240,32358,4000,10 
240,28368,5000,10 
240,30504,5000,10 
240,32425,5000,10 
240,32395,5000,10 
240,32393,5000,10 
240,32426,5000,10 
240,22529,6000,10 
240,12850,6000,10 
240,32421,6000,10 
240,32453,6000,10 
240,32422,6000,10 
240,32421,6000,10 
240,28108,7000,10 
240,30322,7000,10 
240,32476,7000,10 
240,32444,7000,10 
240,32444,7000,10 
240,32476,7000,10 
240,22316,8000,10 
240,10617,8000,10 
240,32466,8000,10 
240,32497,8000,10 
240,32465,8000,10 
240,32464,8000,10 
240,27755,1000,11 
240,30216,1000,11 
240,32235,1000,11 
240,32202,1000,11 
240,32201,1000,11 
240,32237,1000,11 
240,22783,2000,11 
240,11818,2000,11 
240,32266,2000,11 
240,32297,2000,11 
240,32267,2000,11 
240,32265,2000,11 
240,28463,3000,11 
240,30084,3000,11 
240,32345,3000,11 
240,32315,3000,11 
240,32315,3000,11 
240,32348,3000,11 
240,22052,4000,11 
240,10498,4000,11 
240,32358,4000,11 
240,32391,4000,11 
240,32361,4000,11 
240,32360,4000,11 
240,27967,5000,11 
240,30132,5000,11 
240,32427,5000,11 
240,32395,5000,11 
240,32394,5000,11 
240,32426,5000,11 
240,22593,6000,11 
240,10972,6000,11 
240,32422,6000,11 
240,32454,6000,11 
240,32422,6000,11 
240,32421,6000,11 
240,27630,7000,11 
240,30656,7000,11 
240,32475,7000,11 
240,32447,7000,11 
240,32444,7000,11 
240,32477,7000,11 
240,22136,8000,11 
240,9562,8000,11 
240,32466,8000,11 
240,32499,8000,11 
240,32465,8000,11 
240,32465,8000,11 
240,28342,1000,12 
240,30135,1000,12 
240,32235,1000,12 
240,32203,1000,12 
240,32203,1000,12 
240,32236,1000,12 
240,22126,2000,12 
240,12855,2000,12 
240,32267,2000,12 
240,32298,2000,12 
240,32267,2000,12 
240,32267,2000,12 
240,27980,3000,12 
240,30412,3000,12 
240,32347,3000,12 
240,32318,3000,12 
240,32315,3000,12 
240,32349,3000,12 
240,21424,4000,12 
240,10992,4000,12 
240,32358,4000,12 
240,32392,4000,12 
240,32361,4000,12 
240,32358,4000,12 
240,28087,5000,12 
240,30102,5000,12 
240,32428,5000,12 
240,32396,5000,12 
240,32393,5000,12 
240,32428,5000,12 
240,22351,6000,12 
240,10060,6000,12 
240,32422,6000,12 
240,32454,6000,12 
240,32420,6000,12 
240,32422,6000,12 
240,28383,7000,12 
240,30419,7000,12 
240,32477,7000,12 
240,32444,7000,12 
240,32444,7000,12 
240,32477,7000,12 
240,22382,8000,12 
240,10209,8000,12 
240,32465,8000,12 
240,32497,8000,12 
240,32467,8000,12 
240,32465,8000,12 
240,28298,1000,13 
240,30089,1000,13 
240,32235,1000,13 
240,32201,1000,13 
240,32204,1000,13 
240,32235,1000,13 
240,22603,2000,13 
240,12133,2000,13 
240,32265,2000,13 
240,32301,2000,13 
240,32269,2000,13 
240,32266,2000,13 
240,28330,3000,13 
240,30145,3000,13 
240,32353,3000,13 
240,32318,3000,13 
240,32317,3000,13 
240,32351,3000,13 
240,21668,4000,13 
240,10300,4000,13 
240,32362,4000,13 
240,32391,4000,13 
240,32361,4000,13 
240,32360,4000,13 
240,27643,5000,13 
240,30475,5000,13 
240,32428,5000,13 
240,32394,5000,13 
240,32395,5000,13 
240,32427,5000,13 
240,22271,6000,13 
240,11138,6000,13 
240,32422,6000,13 
240,32454,6000,13 
240,32422,6000,13 
240,32420,6000,13 
240,28179,7000,13 
240,30413,7000,13 
240,32477,7000,13 
240,32446,7000,13 
240,32445,7000,13 
240,32477,7000,13 
240,23148,8000,13 
240,13612,8000,13 
240,32467,8000,13 
240,32497,8000,13 
240,32465,8000,13 
240,32467,8000,13 
240,28344,1000,14 
240,30264,1000,14 
240,32237,1000,14 
240,32201,1000,14 
240,32202,1000,14 
240,32236,1000,14 
240,24219,2000,14 
240,14984,2000,14 
240,32266,2000,14 
240,32298,2000,14 
240,32269,2000,14 
240,32266,2000,14 
240,28904,3000,14 
240,30680,3000,14 
240,32351,3000,14 
240,32317,3000,14 
240,32318,3000,14 
240,32350,3000,14 
240,23991,4000,14 
240,13699,4000,14 
240,32360,4000,14 
240,32394,4000,14 
240,32362,4000,14 
240,32360,4000,14 
240,28362,5000,14 
240,30354,5000,14 
240,32431,5000,14 
240,32396,5000,14 
240,32396,5000,14 
240,32426,5000,14 
240,22950,6000,14 
240,13717,6000,14 
240,32422,6000,14 
240,32455,6000,14 
240,32422,6000,14 
240,32422,6000,14 
240,28468,7000,14 
240,30759,7000,14 
240,32479,7000,14 
240,32446,7000,14 
240,32446,7000,14 
240,32477,7000,14 
240,23155,8000,14 
240,14066,8000,14 
240,32468,8000,14 
240,32498,8000,14 
240,32466,8000,14 
240,32466,8000,14 
240,28540,1000,15 
240,30290,1000,15 
240,32237,1000,15 
240,32209,1000,15 
240,32206,1000,15 
240,32237,1000,15 
240,22963,2000,15 
240,14400,2000,15 
240,32268,2000,15 
240,32300,2000,15 
240,32267,2000,15 
240,32267,2000,15 
240,28343,3000,15 
240,30497,3000,15 
240,32352,3000,15 
240,32320,3000,15 
240,32320,3000,15 
240,32353,3000,15 
240,23132,4000,15 
240,14063,4000,15 
240,32362,4000,15 
240,32394,4000,15 
240,32363,4000,15 
240,32360,4000,15 
240,29220,5000,15 
240,30582,5000,15 
240,32428,5000,15 
240,32397,5000,15 
240,32397,5000,15 
240,32428,5000,15 
240,22630,6000,15 
240,14310,6000,15 
240,32423,6000,15 
240,32456,6000,15 
240,32423,6000,15 
240,32423,6000,15 
240,27828,7000,15 
240,30839,7000,15 
240,32477,7000,15 
240,32446,7000,15 
240,32447,7000,15 
240,32479,7000,15 
240,23496,8000,15 
240,13921,8000,15 
240,32467,8000,15 
240,32500,8000,15 
240,32466,8000,15 
240,32468,8000,15 
240,28561,1000,16 
240,30555,1000,16 
240,32237,1000,16 
240,32206,1000,16 
240,32204,1000,16 
240,32238,1000,16 
240,24161,2000,16 
240,15234,2000,16 
240,32269,2000,16 
240,32298,2000,16 
240,32269,2000,16 
240,32268,2000,16 
240,28326,3000,16 
240,30934,3000,16 
240,32353,3000,16 
240,32317,3000,16 
240,32321,3000,16 
240,32353,3000,16 
240,22749,4000,16 
240,13957,4000,16 
240,32362,4000,16 
240,32393,4000,16 
240,32364,4000,16 
240,32361,4000,16 
240,27984,5000,16 
240,30458,5000,16 
240,32430,5000,16 
240,32397,5000,16 
240,32398,5000,16 
240,32428,5000,16 
240,23578,6000,16 
240,14042,6000,16 
240,32423,6000,16 
240,32456,6000,16 
240,32424,6000,16 
240,32425,6000,16 
240,28463,7000,16 
240,30476,7000,16 
240,32478,7000,16 
240,32446,7000,16 
240,32446,7000,16 
240,32478,7000,16 
240,23196,8000,16 
240,13533,8000,16 
240,32468,8000,16 
240,32500,8000,16 
240,32469,8000,16 
240,32468,8000,16 
240,29028,1000,17 
240,30269,1000,17 
240,32238,1000,17 
240,32205,1000,17 
240,32207,1000,17 
240,32239,1000,17 
240,22435,2000,17 
240,13836,2000,17 
240,32268,2000,17 
240,32300,2000,17 
240,32270,2000,17 
240,32270,2000,17 
240,28336,3000,17 
240,30176,3000,17 
240,32353,3000,17 
240,32318,3000,17 
240,32319,3000,17 
240,32352,3000,17 
240,23311,4000,17 
240,13918,4000,17 
240,32361,4000,17 
240,32395,4000,17 
240,32364,4000,17 
240,32363,4000,17 
240,28336,5000,17 
240,30803,5000,17 
240,32430,5000,17 
240,32396,5000,17 
240,32397,5000,17 
240,32430,5000,17 
240,21753,6000,17 
240,11219,6000,17 
240,32424,6000,17 
240,32456,6000,17 
240,32425,6000,17 
240,32424,6000,17 
240,28232,7000,17 
240,30273,7000,17 
240,32481,7000,17 
240,32448,7000,17 
240,32446,7000,17 
240,32480,7000,17 
240,21936,8000,17 
240,10923,8000,17 
240,32466,8000,17 
240,32500,8000,17 
240,32468,8000,17 
240,32468,8000,17 
240,28190,1000,18 
240,30009,1000,18 
240,32237,1000,18 
240,32211,1000,18 
240,32207,1000,18 
240,32236,1000,18 
240,22317,2000,18 
240,11640,2000,18 
240,32269,2000,18 
240,32302,2000,18 
240,32271,2000,18 
240,32269,2000,18 
240,28481,3000,18 
240,30459,3000,18 
240,32353,3000,18 
240,32322,3000,18 
240,32319,3000,18 
240,32353,3000,18 
240,22879,4000,18 
240,12755,4000,18 
240,32363,4000,18 
240,32395,4000,18 
240,32364,4000,18 
240,32360,4000,18 
240,28218,5000,18 
240,30178,5000,18 
240,32429,5000,18 
240,32397,5000,18 
240,32398,5000,18 
240,32429,5000,18 
240,23004,6000,18 
240,11170,6000,18 
240,32425,6000,18 
240,32455,6000,18 
240,32424,6000,18 
240,32424,6000,18 
240,28091,7000,18 
240,30233,7000,18 
240,32478,7000,18 
240,32448,7000,18 
240,32447,7000,18 
240,32479,7000,18 
240,21736,8000,18 
240,10339,8000,18 
240,32467,8000,18 
240,32502,8000,18 
240,32468,8000,18 
240,32467,8000,18 
240,28240,1000,19 
240,30205,1000,19 
240,32237,1000,19 
240,32208,1000,19 
240,32202,1000,19 
240,32239,1000,19 
240,22345,2000,19 
240,10493,2000,19 
240,32271,2000,19 
240,32302,2000,19 
240,32270,2000,19 
240,32272,2000,19 
240,28061,3000,19 
240,30173,3000,19 
240,32351,3000,19 
240,32321,3000,19 
240,32320,3000,19 
240,32353,3000,19 
240,23079,4000,19 
240,12228,4000,19 
240,32365,4000,19 
240,32396,4000,19 
240,32363,4000,19 
240,32365,4000,19 
240,27987,5000,19 
240,30339,5000,19 
240,32431,5000,19 
240,32395,5000,19 
240,32398,5000,19 
240,32430,5000,19 
240,22060,6000,19 
240,10494,6000,19 
240,32424,6000,19 
240,32457,6000,19 
240,32426,6000,19 
240,32425,6000,19 
240,27931,7000,19 
240,30196,7000,19 
240,32478,7000,19 
240,32449,7000,19 
240,32446,7000,19 
240,32480,7000,19 
240,21803,8000,19 
240,10137,8000,19 
240,32468,8000,19 
240,32499,8000,19 
240,32469,8000,19 
240,32468,8000,19 
240,27819,1000,20 
240,30130,1000,20 
240,32239,1000,20 
240,32206,1000,20 
240,32205,1000,20 
240,32240,1000,20 
240,22125,2000,20 
240,10611,2000,20 
240,32270,2000,20 
240,32302,2000,20 
240,32272,2000,20 
240,32269,2000,20 
240,28189,3000,20 
240,30400,3000,20 
240,32350,3000,20 
240,32318,3000,20 
240,32322,3000,20 
240,32352,3000,20 
240,22989,4000,20 
240,13543,4000,20 
240,32365,4000,20 
240,32396,4000,20 
240,32363,4000,20 
240,32363,4000,20 
240,28106,5000,20 
240,30362,5000,20 
240,32431,5000,20 
240,32397,5000,20 
240,32399,5000,20 
240,32432,5000,20 
240,21682,6000,20 
240,10287,6000,20 
240,32424,6000,20 
240,32457,6000,20 
240,32426,6000,20 
240,32423,6000,20 
240,28359,7000,20 
240,30531,7000,20 
240,32480,7000,20 
240,32447,7000,20 
240,32448,7000,20 
240,32478,7000,20 
240,23862,8000,20 
240,14260,8000,20 
240,32469,8000,20 
240,32500,8000,20 
240,32468,8000,20 
240,32468,8000,20 
240,28674,1000,21 
240,30608,1000,21 
240,32240,1000,21 
240,32205,1000,21 
240,32205,1000,21 
240,32236,1000,21 
240,23028,2000,21 
240,14036,2000,21 
240,32271,2000,21 
240,32304,2000,21 
240,32268,2000,21 
240,32271,2000,21 
240,28140,3000,21 
240,30708,3000,21 
240,32353,3000,21 
240,32322,3000,21 
240,32321,3000,21 
240,32355,3000,21 
240,24187,4000,21 
240,13893,4000,21 
240,32364,4000,21 
240,32397,4000,21 
240,32364,4000,21 
240,32365,4000,21 
240,28437,5000,21 
240,30145,5000,21 
240,32431,5000,21 
240,32400,5000,21 
240,32399,5000,21 
240,32430,5000,21 
240,22212,6000,21 
240,14228,6000,21 
240,32426,6000,21 
240,32457,6000,21 
240,32425,6000,21 
240,32425,6000,21 
240,28929,7000,21 
240,30527,7000,21 
240,32482,7000,21 
240,32448,7000,21 
240,32447,7000,21 
240,32481,7000,21 
240,23456,8000,21 
240,13137,8000,21 
240,32469,8000,21 
240,32502,8000,21 
240,32467,8000,21 
240,32471,8000,21 
240,28704,1000,22 
240,30198,1000,22 
240,32234,1000,22 
240,32212,1000,22 
240,32207,1000,22 
240,32241,1000,22 
240,23300,2000,22 
240,12870,2000,22 
240,32268,2000,22 
240,32301,2000,22 
240,32271,2000,22 
240,32271,2000,22 
240,28096,3000,22 
240,30713,3000,22 
240,32356,3000,22 
240,32323,3000,22 
240,32320,3000,22 
240,32356,3000,22 
240,23341,4000,22 
240,14099,4000,22 
240,32365,4000,22 
240,32395,4000,22 
240,32364,4000,22 
240,32367,4000,22 
240,27995,5000,22 
240,30511,5000,22 
240,32430,5000,22 
240,32399,5000,22 
240,32398,5000,22 
240,32432,5000,22 
240,24400,6000,22 
240,12304,6000,22 
240,32426,6000,22 
240,32457,6000,22 
240,32426,6000,22 
240,32426,6000,22 
240,28416,7000,22 
240,30222,7000,22 
240,32480,7000,22 
240,32448,7000,22 
240,32447,7000,22 
240,32480,7000,22 
240,23492,8000,22 
240,12530,8000,22 
240,32470,8000,22 
240,32502,8000,22 
240,32469,8000,22 
240,32469,8000,22 
240,28339,1000,23 
240,30699,1000,23 
240,32237,1000,23 
240,32205,1000,23 
240,32210,1000,23 
240,32238,1000,23 
240,22887,2000,23 
240,12897,2000,23 
240,32272,2000,23 
240,32302,2000,23 
240,32273,2000,23 
240,32302,2000,23 
240,27070,3000,23 
240,30740,3000,23 
240,32354,3000,23 
240,32325,3000,23 
240,32321,3000,23 
240,32353,3000,23 
240,23013,4000,23 
240,13328,4000,23 
240,32363,4000,23 
240,32398,4000,23 
240,32365,4000,23 
240,32365,4000,23 
240,27974,5000,23 
240,30167,5000,23 
240,32432,5000,23 
240,32400,5000,23 
240,32398,5000,23 
240,32432,5000,23 
240,22551,6000,23 
240,14099,6000,23 
240,32427,6000,23 
240,32458,6000,23 
240,32426,6000,23 
240,32425,6000,23 
240,28319,7000,23 
240,30493,7000,23 
240,32481,7000,23 
240,32448,7000,23 
240,32448,7000,23 
240,32481,7000,23 
240,23826,8000,23 
240,12549,8000,23 
240,32469,8000,23 
240,32501,8000,23 
240,32470,8000,23 
240,32468,8000,23 
240,28435,1000,24 
240,30431,1000,24 
240,32239,1000,24 
240,32208,1000,24 
240,32209,1000,24 
240,32243,1000,24 
240,21452,2000,24 
240,10617,2000,24 
240,32273,2000,24 
240,32306,2000,24 
240,32272,2000,24 
240,32272,2000,24 
240,27989,3000,24 
240,30298,3000,24 
240,32354,3000,24 
240,32324,3000,24 
240,32325,3000,24 
240,32355,3000,24 
240,21956,4000,24 
240,11500,4000,24 
240,32366,4000,24 
240,32397,4000,24 
240,32366,4000,24 
240,32365,4000,24 
240,28211,5000,24 
240,30399,5000,24 
240,32431,5000,24 
240,32399,5000,24 
240,32401,5000,24 
240,32432,5000,24 
240,21622,6000,24 
240,9870,6000,24 
240,32425,6000,24 
240,32459,6000,24 
240,32426,6000,24 
240,32426,6000,24 
240,28348,7000,24 
240,30372,7000,24 
240,32480,7000,24 
240,32448,7000,24 
240,32448,7000,24 
240,32480,7000,24 
240,22046,8000,24 
240,11016,8000,24 
240,32470,8000,24 
240,32502,8000,24 
240,32470,8000,24 
240,32470,8000,24 
240,28132,1000,25 
240,30193,1000,25 
240,32240,1000,25 
240,32213,1000,25 
240,32207,1000,25 
240,32241,1000,25 
240,21611,2000,25 
240,11587,2000,25 
240,32273,2000,25 
240,32302,2000,25 
240,32270,2000,25 
240,32274,2000,25 
240,28195,3000,25 
240,30446,3000,25 
240,32355,3000,25 
240,32320,3000,25 
240,32322,3000,25 
240,32354,3000,25 
240,21958,4000,25 
240,11379,4000,25 
240,32365,4000,25 
240,32396,4000,25 
240,32366,4000,25 
240,32366,4000,25 
240,28097,5000,25 
240,30296,5000,25 
240,32431,5000,25 
240,32399,5000,25 
240,32399,5000,25 
240,32432,5000,25 
240,21685,6000,25 
240,10736,6000,25 
240,32426,6000,25 
240,32458,6000,25 
240,32426,6000,25 
240,32426,6000,25 
240,28220,7000,25 
240,30500,7000,25 
240,32482,7000,25 
240,32448,7000,25 
240,32450,7000,25 
240,32481,7000,25 
240,21676,8000,25 
240,10576,8000,25 
240,32470,8000,25 
